2020-08-16 19:28:55,419, INFO, job: Board Number:1 Operator:
2020-08-16 19:28:55,423, INFO, Starting serial port
2020-08-16 19:28:59,151, INFO, Serial port configuration:
2020-08-16 19:28:59,152, INFO, port opened successfully
2020-08-16 19:28:59,152, INFO, Serial<id=0x2eb2fb8, open=True>(port='COM3', baudrate=115200, bytesize=8, parity='N', stopbits=1, timeout=50, xonxoff=False, rtscts=False, dsrdtr=False)
2020-08-16 19:28:59,653, INFO, 'MESSAGE FROM OVEN'
2020-08-16 19:28:59,653, INFO, 
2020-08-16 19:28:59,654, INFO, Selected profile 2: 4300 63SN/37PB
2020-08-16 19:29:01,741, INFO, user confirmation: y
2020-08-16 19:29:02,743, INFO, Starting reflow with profile: 4300 63SN/37PB
2020-08-16 19:29:02,744, INFO, 
2020-08-16 19:29:02,745, INFO, Starting reflow with profile: 4300 63SN/37PB
2020-08-16 19:29:02,746, INFO, bake setpoint values: 0, 32, 50
2020-08-16 19:29:02,747, INFO, 
2020-08-16 19:29:02,748, INFO, # Time,  Temp0, Temp1, Temp2, Temp3,  Set,Actual, Heat, Fan,  ColdJ, Mode
2020-08-16 19:29:24,114, INFO, 21.8,   43.8,  44.9,   0.0,   0.0,   51,  44.3,  255,   9,   27.0, REFLOW
2020-08-16 19:29:24,363, INFO, 22.0,   44.0,  45.2,   0.0,   0.0,   52,  44.6,  250,   9,   27.0, REFLOW
2020-08-16 19:29:24,614, INFO, 22.2,   44.1,  45.1,   0.0,   0.0,   52,  44.6,  255,   9,   27.0, REFLOW
2020-08-16 19:29:24,863, INFO, 22.5,   44.3,  45.5,   0.0,   0.0,   52,  44.9,  238,   9,   27.0, REFLOW
2020-08-16 19:29:25,118, INFO, 22.8,   44.4,  45.4,   0.0,   0.0,   52,  44.9,  255,   9,   27.0, REFLOW
2020-08-16 19:29:25,342, INFO, 23.0,   44.6,  45.6,   0.0,   0.0,   53,  45.1,  255,   9,   27.0, REFLOW
2020-08-16 19:29:25,614, INFO, 23.2,   44.7,  45.6,   0.0,   0.0,   53,  45.2,  255,   9,   27.0, REFLOW
2020-08-16 19:29:25,866, INFO, 23.5,   44.9,  45.8,   0.0,   0.0,   53,  45.3,  250,   9,   27.0, REFLOW
2020-08-16 19:29:26,113, INFO, 23.8,   44.9,  45.7,   0.0,   0.0,   53,  45.3,  255,   9,   27.0, REFLOW
2020-08-16 19:29:26,364, INFO, 24.0,   45.1,  46.1,   0.0,   0.0,   54,  45.6,  216,   9,   27.0, REFLOW
2020-08-16 19:29:26,614, INFO, 24.2,   45.6,  46.0,   0.0,   0.0,   54,  45.8,  240,   9,   27.0, REFLOW
2020-08-16 19:29:26,853, INFO, 24.5,   45.4,  46.2,   0.0,   0.0,   54,  45.8,  255,   9,   27.0, REFLOW
2020-08-16 19:29:27,109, INFO, 24.8,   45.5,  46.2,   0.0,   0.0,   54,  45.9,  255,   9,   27.0, REFLOW
2020-08-16 19:29:27,363, INFO, 25.0,   45.6,  46.3,   0.0,   0.0,   55,  46.0,  253,   9,   27.0, REFLOW
2020-08-16 19:29:27,614, INFO, 25.2,   45.9,  46.6,   0.0,   0.0,   55,  46.3,  202,   9,   27.0, REFLOW
2020-08-16 19:29:27,864, INFO, 25.5,   46.1,  46.6,   0.0,   0.0,   55,  46.3,  255,   9,   27.0, REFLOW
2020-08-16 19:29:28,114, INFO, 25.8,   46.1,  46.8,   0.0,   0.0,   55,  46.4,  253,   9,   27.0, REFLOW
2020-08-16 19:29:28,363, INFO, 26.0,   46.2,  46.8,   0.0,   0.0,   56,  46.5,  242,   9,   27.0, REFLOW
2020-08-16 19:29:28,618, INFO, 26.2,   46.6,  47.1,   0.0,   0.0,   56,  46.8,  191,   9,   27.0, REFLOW
2020-08-16 19:29:28,841, INFO, 26.5,   46.8,  47.0,   0.0,   0.0,   56,  46.9,  249,   9,   27.0, REFLOW
2020-08-16 19:29:29,113, INFO, 26.8,   46.8,  47.2,   0.0,   0.0,   56,  47.0,  243,   9,   27.0, REFLOW
2020-08-16 19:29:29,366, INFO, 27.0,   47.2,  47.5,   0.0,   0.0,   57,  47.4,  165,   9,   27.0, REFLOW
2020-08-16 19:29:29,614, INFO, 27.2,   48.1,  47.5,   0.0,   0.0,   57,  47.8,  130,   9,   27.0, REFLOW
2020-08-16 19:29:29,864, INFO, 27.5,   48.1,  47.6,   0.0,   0.0,   57,  47.9,  232,   9,   27.0, REFLOW
2020-08-16 19:29:30,113, INFO, 27.8,   47.6,  47.9,   0.0,   0.0,   57,  47.8,  255,   9,   27.0, REFLOW
2020-08-16 19:29:30,353, INFO, 28.0,   47.7,  47.8,   0.0,   0.0,   58,  47.8,  249,   9,   27.0, REFLOW
2020-08-16 19:29:30,608, INFO, 28.2,   47.8,  47.9,   0.0,   0.0,   58,  47.8,  233,   9,   27.0, REFLOW
2020-08-16 19:29:30,847, INFO, 28.5,   48.1,  48.1,   0.0,   0.0,   58,  48.1,  174,   9,   27.0, REFLOW
2020-08-16 19:29:31,113, INFO, 28.8,   48.4,  48.3,   0.0,   0.0,   58,  48.4,  169,   9,   27.0, REFLOW
2020-08-16 19:29:31,364, INFO, 29.0,   48.9,  48.6,   0.0,   0.0,   59,  48.7,  138,   9,   27.0, REFLOW
2020-08-16 19:29:31,613, INFO, 29.2,   49.6,  48.6,   0.0,   0.0,   59,  49.1,  137,   9,   27.0, REFLOW
2020-08-16 19:29:31,863, INFO, 29.5,   49.4,  48.7,   0.0,   0.0,   59,  49.0,  232,   9,   27.0, REFLOW
2020-08-16 19:29:32,118, INFO, 29.8,   49.2,  48.9,   0.0,   0.0,   59,  49.0,  225,   9,   27.0, REFLOW
2020-08-16 19:29:32,342, INFO, 30.0,   49.6,  49.1,   0.0,   0.0,   60,  49.3,  255,   9,   27.0, REFLOW
2020-08-16 19:29:32,613, INFO, 30.2,   49.6,  49.1,   0.0,   0.0,   60,  49.3,  255,   9,   27.0, REFLOW
2020-08-16 19:29:32,866, INFO, 30.5,   49.9,  49.4,   0.0,   0.0,   60,  49.7,  255,   9,   27.0, REFLOW
2020-08-16 19:29:33,113, INFO, 30.8,   50.3,  49.6,   0.0,   0.0,   60,  49.9,  255,   9,   27.0, REFLOW
2020-08-16 19:29:33,363, INFO, 31.0,   50.4,  49.7,   0.0,   0.0,   61,  50.0,  255,   9,   27.0, REFLOW
2020-08-16 19:29:33,613, INFO, 31.2,   50.8,  50.0,   0.0,   0.0,   61,  50.4,  255,   9,   27.0, REFLOW
2020-08-16 19:29:33,853, INFO, 31.5,   50.9,  50.1,   0.0,   0.0,   61,  50.5,  255,   9,   27.0, REFLOW
2020-08-16 19:29:34,107, INFO, 31.8,   50.9,  50.1,   0.0,   0.0,   61,  50.5,  255,   9,   27.0, REFLOW
2020-08-16 19:29:34,347, INFO, 32.0,   51.1,  50.2,   0.0,   0.0,   62,  50.6,  255,   9,   27.0, REFLOW
2020-08-16 19:29:34,613, INFO, 32.2,   51.5,  50.5,   0.0,   0.0,   62,  51.0,  255,   9,   27.0, REFLOW
2020-08-16 19:29:34,863, INFO, 32.5,   51.6,  50.6,   0.0,   0.0,   62,  51.1,  255,   9,   27.0, REFLOW
2020-08-16 19:29:35,113, INFO, 32.8,   52.1,  50.8,   0.0,   0.0,   62,  51.4,  255,   9,   27.0, REFLOW
2020-08-16 19:29:35,363, INFO, 33.0,   52.5,  51.1,   0.0,   0.0,   63,  51.8,  255,   9,   27.0, REFLOW
2020-08-16 19:29:35,617, INFO, 33.2,   52.5,  51.2,   0.0,   0.0,   63,  51.9,  255,   9,   27.0, REFLOW
2020-08-16 19:29:35,840, INFO, 33.5,   52.7,  51.3,   0.0,   0.0,   63,  52.0,  255,   9,   27.0, REFLOW
2020-08-16 19:29:36,113, INFO, 33.8,   53.1,  51.5,   0.0,   0.0,   63,  52.3,  255,   9,   27.0, REFLOW
2020-08-16 19:29:36,365, INFO, 34.0,   53.4,  51.8,   0.0,   0.0,   65,  52.6,  255,   9,   27.0, REFLOW
2020-08-16 19:29:36,613, INFO, 34.2,   53.6,  51.8,   0.0,   0.0,   65,  52.7,  255,   9,   27.0, REFLOW
2020-08-16 19:29:36,863, INFO, 34.5,   54.0,  52.2,   0.0,   0.0,   65,  53.1,  255,   9,   27.0, REFLOW
2020-08-16 19:29:37,113, INFO, 34.8,   54.1,  52.2,   0.0,   0.0,   65,  53.1,  255,   9,   27.0, REFLOW
2020-08-16 19:29:37,353, INFO, 35.0,   54.4,  52.6,   0.0,   0.0,   66,  53.5,  255,   9,   27.0, REFLOW
2020-08-16 19:29:37,608, INFO, 35.2,   54.6,  52.6,   0.0,   0.0,   66,  53.6,  255,   9,   27.0, REFLOW
2020-08-16 19:29:37,847, INFO, 35.5,   55.1,  52.8,   0.0,   0.0,   66,  53.9,  255,   9,   27.0, REFLOW
2020-08-16 19:29:38,113, INFO, 35.8,   55.0,  52.9,   0.0,   0.0,   66,  53.9,  255,   9,   27.0, REFLOW
2020-08-16 19:29:38,363, INFO, 36.0,   55.4,  53.2,   0.0,   0.0,   67,  54.3,  255,   9,   27.0, REFLOW
2020-08-16 19:29:38,612, INFO, 36.2,   55.7,  53.4,   0.0,   0.0,   67,  54.5,  255,   9,   27.0, REFLOW
2020-08-16 19:29:38,862, INFO, 36.5,   55.8,  53.6,   0.0,   0.0,   67,  54.7,  255,   9,   27.0, REFLOW
2020-08-16 19:29:39,117, INFO, 36.8,   56.4,  53.9,   0.0,   0.0,   67,  55.2,  242,   9,   27.0, REFLOW
2020-08-16 19:29:39,341, INFO, 37.0,   56.9,  54.1,   0.0,   0.0,   69,  55.5,  255,   9,   27.0, REFLOW
2020-08-16 19:29:39,596, INFO, 37.2,   56.8,  54.2,   0.0,   0.0,   69,  55.5,  255,   9,   27.0, REFLOW
2020-08-16 19:29:39,866, INFO, 37.5,   57.2,  54.6,   0.0,   0.0,   69,  55.9,  242,   9,   27.0, REFLOW
2020-08-16 19:29:40,112, INFO, 37.8,   57.2,  54.6,   0.0,   0.0,   69,  55.9,  255,   9,   27.0, REFLOW
2020-08-16 19:29:40,363, INFO, 38.0,   57.8,  54.9,   0.0,   0.0,   70,  56.3,  241,   9,   27.0, REFLOW
2020-08-16 19:29:40,612, INFO, 38.2,   57.9,  55.0,   0.0,   0.0,   70,  56.5,  255,   9,   27.0, REFLOW
2020-08-16 19:29:40,852, INFO, 38.5,   58.4,  55.5,   0.0,   0.0,   70,  56.9,  207,   9,   27.0, REFLOW
2020-08-16 19:29:41,107, INFO, 38.8,   58.8,  55.5,   0.0,   0.0,   70,  57.2,  255,   9,   27.0, REFLOW
2020-08-16 19:29:41,347, INFO, 39.0,   58.9,  55.8,   0.0,   0.0,   71,  57.3,  255,   9,   27.0, REFLOW
2020-08-16 19:29:41,613, INFO, 39.2,   59.0,  55.9,   0.0,   0.0,   71,  57.4,  255,   9,   27.0, REFLOW
2020-08-16 19:29:41,862, INFO, 39.5,   59.2,  56.0,   0.0,   0.0,   71,  57.6,  255,   9,   27.0, REFLOW
2020-08-16 19:29:42,112, INFO, 39.8,   59.9,  56.4,   0.0,   0.0,   71,  58.1,  168,   9,   27.0, REFLOW
2020-08-16 19:29:42,208, INFO, 40.0,   60.4,  56.3,   0.0,   0.0,   73,  58.4,  255,   9,   27.0, REFLOW
2020-08-16 19:29:42,209, INFO, Reflow interrupted by keypress
